INFO  2023-12-20 14:40:12,593  Description : HDFC Mutual Fund Distributors can easily avail our services on HDFC MF Online partners portal - HDFC MF Distributor Portal. You can keep track of your client’s portfolio, add new investor, do financial planning with our tools, investor information, investor reports and much more.

INFO  2023-12-20 14:40:12,593  Category    : 
INFO  2023-12-20 14:40:12,593  Subcategory : 
INFO  2023-12-20 14:40:12,612  The url https://www.hdfcfund.com/distributor-corner completed
INFO  2023-12-20 14:40:12,612  
INFO  2023-12-20 14:40:12,717  The url : https://www.hdfcfund.com/product-solutions/overview/hdfc-flexi-cap-fund/direct started....
INFO  2023-12-20 14:40:13,734  Browser listening on: ws://127.0.0.1:58159/devtools/browser/1c957ac5-b9cf-4809-93b6-deb0cada28f8
INFO  2023-12-20 14:40:16,704  Title       : HDFC Flexi Cap Fund - Diversified Equity Fund - HDFC Mutual Fund
INFO  2023-12-20 14:40:16,704  Description : HDFC Flexi Cap Fund is an open ended dynamic equity scheme to strategically build a diversified portfolio by investing across large cap, mid cap and small cap stocks.
INFO  2023-12-20 14:40:16,704  Category    : 
INFO  2023-12-20 14:40:16,705  Subcategory : 
INFO  2023-12-20 14:40:16,715  The url https://www.hdfcfund.com/product-solutions/overview/hdfc-flexi-cap-fund/direct completed
INFO  2023-12-20 14:40:16,715  
INFO  2023-12-20 14:40:16,740  The url : https://www.hdfcfund.com/chat-bot started....
INFO  2023-12-20 14:40:22,844  Browser listening on: ws://127.0.0.1:58206/devtools/browser/232de476-5858-45a1-a482-fcebd3f247c6
INFO  2023-12-20 14:40:25,938  Title       : 
INFO  2023-12-20 14:40:25,938  Description : 
INFO  2023-12-20 14:40:25,938  Category    : 
INFO  2023-12-20 14:40:25,938  Subcategory : 
INFO  2023-12-20 14:40:25,949  The url https://www.hdfcfund.com/chat-bot completed
INFO  2023-12-20 14:40:25,949  
INFO  2023-12-20 14:40:26,042  The url : https://www.hdfcfund.com/learners-corner started....
INFO  2023-12-20 14:40:27,077  Browser listening on: ws://127.0.0.1:58257/devtools/browser/96abbf52-0f5d-48d9-bb29-b6b33b2478a9
INFO  2023-12-20 14:40:29,974  Title       : Learners Corner
INFO  2023-12-20 14:40:29,974  Description : 
INFO  2023-12-20 14:40:29,974  Category    : 
INFO  2023-12-20 14:40:29,974  Subcategory : 
INFO  2023-12-20 14:40:29,986  The url https://www.hdfcfund.com/learners-corner completed
INFO  2023-12-20 14:40:29,986  
INFO  2023-12-20 14:40:30,006  The url : https://www.hdfcfund.com/distributor-corner/being-a-mfd/get-started started....
INFO  2023-12-20 14:40:32,467  Browser listening on: ws://127.0.0.1:58306/devtools/browser/2eea9a04-2424-4d73-98b9-b1e6a1a39193
INFO  2023-12-20 15:43:43,080  The url : 'https://www.hdfcfund.com/' started....
INFO  2023-12-20 15:43:47,635  The url : 'https://www.hdfcfund.com/' started....
INFO  2023-12-20 15:44:49,909  The url : https://www.hdfcfund.com/ started....
INFO  2023-12-20 15:44:52,611  Browser listening on: ws://127.0.0.1:60569/devtools/browser/81d87779-7cbd-493e-8c0b-1f7098f8b5d2
INFO  2023-12-20 15:45:02,501  Title       : HDFC Mutual Fund - Mutual Funds India - SIP Investment - Mutual Fund Investment
INFO  2023-12-20 15:45:02,783  Description : HDFC Mutual Fund is the leading mutual fund investment company in India. Explore and invest in wide range of mutual funds with us.

INFO  2023-12-20 15:45:03,013  Category    : 
INFO  2023-12-20 15:45:03,220  Subcategory : 
INFO  2023-12-20 15:45:07,165  The url https://www.hdfcfund.com/ completed
